state,district,enrol_age_0_5,enrol_age_5_17,enrol_age_18_greater,demo_demo_age_5_17,demo_demo_age_17_,bio_bio_age_5_17,bio_bio_age_17_,total_enrol,total_updates,update_intensity,update_zscore
Andhra Pradesh,Mahbubnagar,511.0,211.0,0.0,1254.0,8643.0,3060.0,11679.0,722.0,24636.0,34.0746887966805,0.16978578453029397
Andhra Pradesh,Medak,1176.0,229.0,1.0,1711.0,11252.0,6281.0,16164.0,1406.0,35408.0,25.165600568585642,-0.035494715280531636
Andhra Pradesh,N. T. R,790.0,97.0,46.0,4718.0,33352.0,6788.0,6771.0,933.0,51629.0,55.27730192719486,0.6583299440776184
Andhra Pradesh,Nalgonda,951.0,216.0,0.0,1623.0,28221.0,5640.0,27013.0,1167.0,62497.0,53.507705479452056,0.6175554412378608
Andhra Pradesh,Nandyal,860.0,39.0,6.0,4798.0,22587.0,6337.0,4303.0,905.0,38025.0,41.97019867549669,0.3517117204609222
Andhra Pradesh,Nellore,4611.0,754.0,2.0,7111.0,61012.0,99065.0,59412.0,5367.0,226600.0,42.21311475409836,0.35730891882182575
Andhra Pradesh,Nizamabad,453.0,71.0,0.0,728.0,4813.0,3452.0,7527.0,524.0,16520.0,31.466666666666665,0.10969253226250048
Andhra Pradesh,Palnadu,759.0,76.0,25.0,3955.0,21540.0,6007.0,4046.0,860.0,35548.0,41.28687572590012,0.33596680099957477
Andhra Pradesh,Parvathipuram Manyam,464.0,36.0,8.0,1511.0,7880.0,5090.0,5540.0,508.0,20021.0,39.33398821218075,0.2909689611952248
Andhra Pradesh,Prakasam,6405.0,1157.0,61.0,15519.0,104979.0,136533.0,75766.0,7623.0,332797.0,43.65123294858342,0.3904456006227719
Andhra Pradesh,Rangareddi,1478.0,405.0,0.0,3569.0,18676.0,13261.0,41326.0,1883.0,76832.0,40.78131634819533,0.3243178556662002
Andhra Pradesh,Spsr Nellore,1167.0,713.0,303.0,0.0,0.0,0.0,0.0,2183.0,0.0,0.0,-0.6153528253919376
Andhra Pradesh,Sri Potti Sriramulu Nellore,689.0,622.0,303.0,3045.0,19020.0,6668.0,3467.0,1614.0,32200.0,19.938080495356036,-0.15594564201169203
Andhra Pradesh,Sri Sathya Sai,879.0,40.0,19.0,3953.0,18154.0,5704.0,4711.0,938.0,32522.0,34.63471778487753,0.18268980205288415
Andhra Pradesh,Srikakulam,4157.0,135.0,8.0,24315.0,111384.0,125178.0,67429.0,4300.0,328306.0,76.33248081841433,1.1434769687490927
Andhra Pradesh,Tirupati,802.0,689.0,228.0,4768.0,28462.0,5633.0,4765.0,1719.0,43628.0,25.365116279069767,-0.03089753499454726
Andhra Pradesh,Visakhapatanam,186.0,28.0,12.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0,-0.6153528253919376
Andhra Pradesh,Visakhapatnam,7688.0,460.0,30.0,19864.0,137329.0,195385.0,115918.0,8178.0,468496.0,57.28035212128622,0.7044836170980027
Andhra Pradesh,Vizianagaram,3695.0,158.0,3.0,11069.0,67818.0,101296.0,58702.0,3856.0,238885.0,61.93544205340939,0.8117447827150519
Andhra Pradesh,Warangal,858.0,201.0,0.0,3605.0,31161.0,13746.0,38012.0,1059.0,86524.0,81.62641509433962,1.2654581913281395
Andhra Pradesh,West Godavari,5568.0,343.0,24.0,14258.0,112548.0,139979.0,80435.0,5935.0,347220.0,58.49393530997305,0.7324466316240044
Andhra Pradesh,Y. S. R,738.0,52.0,33.0,4161.0,24025.0,5183.0,3425.0,823.0,36794.0,44.65291262135922,0.4135259988198983
Arunachal Pradesh,Anjaw,23.0,11.0,3.0,128.0,632.0,675.0,496.0,37.0,1931.0,50.81578947368421,0.5555291318148421
Arunachal Pradesh,Changlang,486.0,304.0,13.0,690.0,4969.0,5436.0,2747.0,803.0,13842.0,17.21641791044776,-0.2186573630590286
Arunachal Pradesh,Dibang Valley,7.0,3.0,0.0,28.0,132.0,313.0,158.0,10.0,631.0,57.36363636363637,0.7064026272658547
Arunachal Pradesh,East Kameng,88.0,79.0,14.0,292.0,1130.0,2690.0,1607.0,181.0,5719.0,31.423076923076923,0.10868815065558025
Arunachal Pradesh,East Siang,80.0,86.0,2.0,423.0,2080.0,2242.0,1079.0,168.0,5824.0,34.46153846153846,0.17869945678502197
Arunachal Pradesh,Kamle,3.0,25.0,2.0,64.0,254.0,57.0,86.0,30.0,461.0,14.870967741935484,-0.27270051209365714
Arunachal Pradesh,Kra Daadi,18.0,59.0,4.0,145.0,369.0,717.0,523.0,81.0,1754.0,21.390243902439025,-0.12248533469618868
Arunachal Pradesh,Kurung Kumey,19.0,44.0,12.0,106.0,229.0,1299.0,2091.0,75.0,3725.0,49.01315789473684,0.5139934435348502
Arunachal Pradesh,Leparada,0.0,2.0,1.0,8.0,15.0,34.0,2.0,3.0,59.0,14.75,-0.27548781399141975
Arunachal Pradesh,Lohit,102.0,63.0,1.0,212.0,1654.0,1796.0,2095.0,166.0,5757.0,34.47305389221557,0.17896479183440211
Arunachal Pradesh,Longding,141.0,719.0,37.0,263.0,1222.0,1611.0,988.0,897.0,4084.0,4.547884187082405,-0.5105618619281412
Arunachal Pradesh,Lower Dibang Valley,58.0,49.0,2.0,186.0,971.0,1373.0,875.0,109.0,3405.0,30.954545454545453,0.0978923911373464
Arunachal Pradesh,Lower Siang,10.0,18.0,3.0,70.0,269.0,359.0,54.0,31.0,752.0,23.5,-0.0738729767199261
Arunachal Pradesh,Lower Subansiri,50.0,55.0,0.0,198.0,1323.0,1530.0,1150.0,105.0,4201.0,39.632075471698116,0.29783739711754476
Arunachal Pradesh,Namsai,95.0,54.0,1.0,221.0,1914.0,3561.0,2442.0,150.0,8138.0,53.89403973509934,0.6264572375904014
Arunachal Pradesh,Pakke Kessang,2.0,1.0,1.0,14.0,73.0,30.0,44.0,4.0,161.0,32.2,0.1265897757671591
Arunachal Pradesh,Papum Pare,201.0,241.0,5.0,770.0,4152.0,4835.0,4424.0,447.0,14181.0,31.654017857142858,0.11400942138026941
Arunachal Pradesh,Shi-yomi,8.0,22.0,5.0,43.0,195.0,210.0,319.0,35.0,767.0,21.305555555555557,-0.12443669781341177
Arunachal Pradesh,Siang,39.0,60.0,4.0,175.0,602.0,880.0,429.0,103.0,2086.0,20.057692307692307,-0.15318958303112912
Arunachal Pradesh,Tawang,104.0,43.0,7.0,209.0,742.0,1866.0,598.0,154.0,3415.0,22.032258064516128,-0.10769223974611215
Arunachal Pradesh,Tirap,59.0,39.0,1.0,96.0,894.0,1371.0,522.0,99.0,2883.0,28.83,0.048939261298023715
Arunachal Pradesh,Upper Siang,21.0,21.0,1.0,199.0,1122.0,1235.0,561.0,43.0,3117.0,70.8409090909091,1.0169418441541551
Arunachal Pradesh,Upper Subansiri,76.0,55.0,12.0,347.0,1202.0,2462.0,1704.0,143.0,5715.0,39.6875,0.29911447223233717
Arunachal Pradesh,West Kameng,157.0,103.0,18.0,375.0,1484.0,2967.0,3205.0,278.0,8031.0,28.78494623655914,0.04790114619121263
Arunachal Pradesh,West Siang,110.0,80.0,2.0,521.0,3031.0,3345.0,1301.0,192.0,8198.0,42.476683937823836,0.36338199974600766
Assam,Bajali,19.0,8.0,2.0,57.0,787.0,6.0,17.0,29.0,867.0,28.9,0.05055217999619567
Assam,Baksa,2120.0,1179.0,400.0,1346.0,15666.0,11602.0,5853.0,3699.0,34467.0,9.315405405405405,-0.4007100888286459
Assam,Barpeta,10545.0,3306.0,532.0,4978.0,54164.0,66392.0,29029.0,14383.0,154563.0,10.745481090100112,-0.367758720090858
Assam,Biswanath,789.0,464.0,76.0,844.0,10181.0,6159.0,3389.0,1329.0,20573.0,15.468421052631578,-0.2589341747207077
Assam,Bongaigaon,2324.0,626.0,225.0,3318.0,35806.0,24633.0,11975.0,3175.0,75732.0,23.84508816120907,-0.06592156032375632
Assam,Cachar,11474.0,4513.0,1527.0,5078.0,52941.0,42167.0,23978.0,17514.0,124164.0,7.089009420496717,-0.4520100275942769
Assam,Charaideo,659.0,336.0,194.0,763.0,9150.0,6096.0,2197.0,1189.0,18206.0,15.299159663865547,-0.2628342441324117
Assam,Chirang,2013.0,1071.0,264.0,1175.0,12222.0,18078.0,9009.0,3348.0,40484.0,12.088384592415647,-0.33681594625192485
Assam,Darrang,4390.0,1914.0,1291.0,3187.0,25132.0,16240.0,10025.0,7595.0,54584.0,7.185887309110058,-0.4497777967659358
Assam,Dhemaji,3864.0,1846.0,1191.0,1927.0,20422.0,12494.0,8236.0,6901.0,43079.0,6.24152419588525,-0.47153752423999534
Assam,Dhubri,8432.0,3849.0,365.0,7185.0,73614.0,40373.0,19102.0,12646.0,140274.0,11.09148414643789,-0.359786222959546
Assam,Dibrugarh,3895.0,1675.0,1492.0,1874.0,24645.0,14970.0,11765.0,7062.0,53254.0,7.539855585445278,-0.4416217674593534
Assam,Dima Hasao,119.0,103.0,28.0,16.0,264.0,11.0,14.0,250.0,305.0,1.2151394422310757,-0.5873539521453557
Assam,Goalpara,6881.0,2220.0,797.0,4325.0,36242.0,17021.0,10603.0,9898.0,68191.0,6.888675623800384,-0.4566260579738097
Assam,Golaghat,5537.0,4047.0,1921.0,1998.0,25926.0,12369.0,7785.0,11505.0,48078.0,4.178515557100643,-0.5190727414969376
Assam,Hailakandi,3826.0,1441.0,311.0,2253.0,19049.0,14201.0,6922.0,5578.0,42425.0,7.604409392364223,-0.44013433828481413
Assam,Hojai,5288.0,1607.0,155.0,2371.0,22937.0,15271.0,13731.0,7050.0,54310.0,7.702453552687562,-0.4378752345786415
Assam,Jorhat,2905.0,1122.0,860.0,1266.0,18522.0,10704.0,5575.0,4887.0,36067.0,7.378682487725041,-0.4453354689301429
Assam,Kamrup,9311.0,3370.0,985.0,3266.0,41318.0,30056.0,13196.0,13666.0,87836.0,6.4268676373746985,-0.4672668970633972
Assam,Kamrup Metro,2654.0,2055.0,1337.0,2308.0,23883.0,14584.0,12178.0,6046.0,52953.0,8.756904250041343,-0.4135789024920364
Assam,Karbi Anglong,2918.0,4107.0,1082.0,2438.0,28683.0,25507.0,13699.0,8107.0,70327.0,8.673778983719783,-0.4154942495826159
Assam,Karimganj,9336.0,4903.0,594.0,4135.0,37279.0,24232.0,11414.0,14833.0,77060.0,5.194822704597546,-0.4956553014786011
Assam,Kokrajhar,2519.0,1572.0,518.0,1928.0,20741.0,18300.0,10559.0,4609.0,51528.0,11.177440347071583,-0.3578056463420331
Assam,Lakhimpur,4726.0,1825.0,648.0,2993.0,32419.0,17189.0,12583.0,7199.0,65184.0,9.053333333333333,-0.40674867376169893
Assam,Majuli,347.0,157.0,11.0,290.0,2991.0,2139.0,1243.0,515.0,6663.0,12.912790697674419,-0.3178202316510822
Assam,Marigaon,6735.0,2928.0,824.0,4499.0,39311.0,19361.0,14575.0,10487.0,77746.0,7.412852784134249,-0.44454812735870736
Assam,Nagaon,9002.0,3478.0,393.0,7120.0,90257.0,44214.0,73665.0,12873.0,215256.0,16.720211278545907,-0.23009080526976325
Assam,Nalbari,2709.0,977.0,195.0,2083.0,18878.0,14657.0,5594.0,3881.0,41212.0,10.61617722823287,-0.37073810032730836
Assam,North Cachar Hills,501.0,420.0,137.0,300.0,3299.0,2782.0,1242.0,1058.0,7623.0,7.198300283286119,-0.4494917807923859
Assam,Sibsagar,1561.0,514.0,662.0,1031.0,12039.0,8287.0,3093.0,2737.0,24450.0,8.929875821767714,-0.4095933441736127
Assam,Sivasagar,204.0,113.0,105.0,0.0,0.0,0.0,0.0,422.0,0.0,0.0,-0.6153528253919376
Assam,Sonitpur,5501.0,2723.0,973.0,3162.0,40414.0,17454.0,12663.0,9197.0,73693.0,8.011850402261361,-0.4307462065238833
Assam,South Salmara Mankachar,1062.0,364.0,46.0,1188.0,19859.0,2855.0,1993.0,1472.0,25895.0,17.57976917854718,-0.21028513371157082
Assam,Sribhumi,115.0,43.0,11.0,192.0,4895.0,42.0,315.0,169.0,5444.0,32.023529411764706,0.1225235941751289
Assam,Tamulpur District,22.0,33.0,0.0,54.0,1214.0,17.0,53.0,55.0,1338.0,23.892857142857142,-0.06482088198528761
Assam,Tinsukia,3884.0,2867.0,1633.0,2000.0,33249.0,12082.0,7167.0,8384.0,54498.0,6.499463327370304,-0.4655941692662457
Assam,Udalguri,2658.0,1322.0,585.0,1380.0,18400.0,12995.0,9353.0,4565.0,42128.0,9.226456416995182,-0.40275962435136486
Assam,West Karbi Anglong,390.0,987.0,507.0,152.0,1299.0,1084.0,2308.0,1884.0,4843.0,2.5692307692307694,-0.5561533918546375
BALANAGAR,IDPL COLONY,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,-0.5692694340155963
Bihar,Araria,9939.0,5515.0,125.0,9001.0,146314.0,72533.0,82911.0,15579.0,310759.0,19.94602053915276,-0.15576268993877723
Bihar,Arwal,812.0,3020.0,34.0,2232.0,25538.0,12094.0,18610.0,3866.0,58474.0,15.121282648047583,-0.26693283220080916
Bihar,Aurangabad,3001.0,7096.0,73.0,10545.0,95295.0,46556.0,49874.0,10170.0,202270.0,19.886933438206665,-0.15712415693787335
Bihar,Aurangabad(BH),5.0,3.0,0.0,2.0,22.0,1.0,9.0,8.0,34.0,3.7777777777777777,-0.5283064194588483
Bihar,Aurangabad(bh),44.0,61.0,0.0,24.0,646.0,34.0,188.0,105.0,892.0,8.415094339622641,-0.42145478243110496
Bihar,Banka,6198.0,4797.0,79.0,7434.0,90686.0,49854.0,48373.0,11074.0,196347.0,17.728848758465013,-0.20685008739778382
Bihar,Begusarai,8106.0,5045.0,58.0,13270.0,119720.0,72549.0,74659.0,13209.0,280198.0,21.2110522331567,-0.12661421460964734
Bihar,Bhabua,14.0,17.0,0.0,5.0,127.0,4.0,29.0,31.0,165.0,5.15625,-0.49654408199980743
Bihar,Bhagalpur,10456.0,10229.0,377.0,15385.0,139641.0,72409.0,75905.0,21062.0,303340.0,14.401557233062716,-0.28351652619193285
Bihar,Bhojpur,3136.0,10115.0,106.0,10707.0,131634.0,39485.0,57511.0,13357.0,239337.0,17.91712831262165,-0.20251180720660214
Bihar,Buxar,2528.0,4648.0,64.0,7052.0,66850.0,24831.0,32197.0,7240.0,130930.0,18.081756663444274,-0.19871849084530183
Bihar,Darbhanga,10017.0,5677.0,71.0,12315.0,141613.0,93323.0,117057.0,15765.0,364308.0,23.10719269313713,-0.08292392314875024
Bihar,East Champaran,10147.0,18371.0,805.0,18227.0,229801.0,95935.0,116199.0,29323.0,460162.0,15.6923339244305,-0.25377484246805254
Bihar,Gaya,6722.0,20244.0,435.0,19945.0,175229.0,85898.0,99274.0,27401.0,380346.0,13.880227720604335,-0.29552884217126124
Bihar,Gopalganj,5303.0,9649.0,196.0,8025.0,97842.0,46818.0,56666.0,15148.0,209351.0,13.819460030365041,-0.2969290327974281
Bihar,Jamui,5193.0,5029.0,160.0,5423.0,61497.0,46558.0,35599.0,10382.0,149077.0,14.3577963979582,-0.2845248500374713
Bihar,Jehanabad,915.0,3827.0,141.0,4393.0,41968.0,15681.0,21749.0,4883.0,83791.0,17.156224406224407,-0.22004432346574773
Bihar,Kaimur (Bhabua),3033.0,4707.0,85.0,5463.0,61555.0,37550.0,40607.0,7825.0,145175.0,18.550345003833375,-0.1879214209030312
Bihar,Katihar,11332.0,4903.0,115.0,11847.0,168447.0,98243.0,119037.0,16350.0,397574.0,24.314965445538498,-0.055094790927453584
Bihar,Khagaria,4348.0,3779.0,69.0,7370.0,68254.0,39283.0,40621.0,8196.0,155528.0,18.97377089178968,-0.17816497044624854
Bihar,Kishanganj,6957.0,1782.0,25.0,6372.0,138769.0,57815.0,83464.0,8764.0,286420.0,32.677695379349686,0.13759668732977975
Bihar,Lakhisarai,2664.0,3423.0,68.0,4081.0,44802.0,22610.0,26887.0,6155.0,98380.0,15.981156595191683,-0.24711987838052862
Bihar,Madhepura,4571.0,4417.0,39.0,6595.0,85266.0,51666.0,65571.0,9027.0,209098.0,23.16105449712007,-0.08168285585215944
Bihar,Madhubani,12598.0,12534.0,798.0,13587.0,168104.0,110514.0,127621.0,25930.0,419826.0,16.190119933670125,-0.24230500872532415
Bihar,Monghyr,29.0,20.0,0.0,2.0,280.0,5.0,94.0,49.0,381.0,7.62,-0.43977510424807686
Bihar,Munger,2445.0,3534.0,108.0,4129.0,51818.0,21620.0,28851.0,6087.0,106418.0,17.479960578186596,-0.2125848931081417
Bihar,Muzaffarpur,14087.0,14103.0,665.0,15939.0,190978.0,93075.0,115469.0,28855.0,415461.0,14.397733573606876,-0.2836046297895295
Bihar,Nalanda,3676.0,10763.0,136.0,11812.0,141231.0,51140.0,66262.0,14575.0,270445.0,18.55413007683864,-0.1878342064026864
Bihar,Nawada,2742.0,12380.0,291.0,6895.0,79623.0,38447.0,47798.0,15413.0,172763.0,11.208187362138316,-0.35709718297754584
Bihar,Pashchim Champaran,5060.0,10737.0,562.0,23.0,1097.0,40.0,313.0,16359.0,1473.0,0.09003667481662592,-0.6132782277300382
Bihar,Patna,6745.0,17151.0,748.0,20931.0,222841.0,93322.0,115692.0,24644.0,452786.0,18.37232704402516,-0.1920232565599611
Bihar,Purba Champaran,61.0,66.0,0.0,19.0,915.0,27.0,237.0,127.0,1198.0,9.359375,-0.39969695481046497
Bihar,Purbi Champaran,4000.0,10071.0,800.0,0.0,0.0,0.0,0.0,14871.0,0.0,0.0,-0.6153528253919376
Bihar,Purnea,169.0,88.0,0.0,102.0,2704.0,1027.0,3927.0,257.0,7760.0,30.07751937984496,0.07768422321350679
Bihar,Purnia,12195.0,7721.0,184.0,9447.0,133927.0,106033.0,122518.0,20100.0,371925.0,18.502810805432567,-0.18901668943736374
Bihar,Rohtas,2741.0,5120.0,78.0,10462.0,107283.0,50054.0,61656.0,7939.0,229455.0,28.898614609571787,0.05052025825153952
Bihar,Saharsa,6281.0,6577.0,205.0,6443.0,74734.0,42412.0,77454.0,13063.0,201043.0,15.389084507042254,-0.2607622232611276
Bihar,Samastipur,11289.0,7787.0,131.0,15445.0,186847.0,93161.0,107004.0,19207.0,402457.0,20.952571845064558,-0.13257004105342673
Bihar,Samstipur,41.0,41.0,0.0,10.0,438.0,13.0,182.0,82.0,643.0,7.746987951807229,-0.4368490865064706
Bihar,Saran,7592.0,16407.0,219.0,14788.0,155057.0,63026.0,85477.0,24218.0,318348.0,13.144555927164623,-0.3124799677620699
Bihar,Sheikhpura,1244.0,1934.0,21.0,2326.0,25762.0,16884.0,23539.0,3199.0,68511.0,21.4096875,-0.12203732123810541
Bihar,Sheikpura,11.0,18.0,0.0,1.0,177.0,5.0,128.0,29.0,311.0,10.366666666666667,-0.37648724675790135
Bihar,Sheohar,2067.0,1184.0,11.0,2482.0,28998.0,12986.0,19696.0,3262.0,64162.0,19.66349984676678,-0.16227244575834623
Bihar,Sitamarhi,20679.0,18856.0,2697.0,12645.0,157203.0,84925.0,97075.0,42232.0,351848.0,8.33111547841735,-0.4233897977952364
Bihar,Siwan,6149.0,9025.0,137.0,10600.0,113122.0,52907.0,72897.0,15311.0,249526.0,16.29610762800418,-0.23986287252578803
Bihar,Supaul,5691.0,4563.0,157.0,6449.0,100462.0,47023.0,65347.0,10411.0,219281.0,21.060411064156742,-0.13008524258385465
Bihar,Vaishali,8257.0,9698.0,52.0,12462.0,143132.0,72298.0,95862.0,18007.0,323754.0,17.97834295868503,-0.20110131796035066
Bihar,West Champaran,11585.0,18070.0,783.0,17311.0,216078.0,75467.0,91350.0,30438.0,400206.0,13.147803804329971,-0.31240513116479335
Chandigarh,Chandigarh,2473.0,211.0,36.0,13132.0,70204.0,49166.0,25296.0,2720.0,157798.0,57.992649761117235,0.7208961625543912
Chandigarh,Mohali,0.0,0.0,0.0,0.0,5.0,2.0,4.0,0.0,11.0,11.0,-0.3618941728220599
Chandigarh,Rupnagar,3.0,0.0,0.0,1.0,19.0,3.0,11.0,3.0,34.0,8.5,-0.41949841204248667
Chhatisgarh,Raipur,0.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,9.0,9.0,-0.4079775641984013
Chhattisgarh,Balod,1603.0,71.0,4.0,5704.0,54030.0,26841.0,54374.0,1678.0,140949.0,83.94818344252532,1.3189556710654613
Chhattisgarh,Baloda Bazar,4349.0,562.0,33.0,8282.0,107988.0,53691.0,87056.0,4944.0,257017.0,51.97512639029323,0.5822422202474091
Chhattisgarh,Balrampur,4593.0,1528.0,69.0,3542.0,56759.0,20113.0,32130.0,6190.0,112544.0,18.17864642222581,-0.19648598650815738
Chhattisgarh,Bastar,4794.0,1808.0,6.0,9378.0,70053.0,27648.0,66736.0,6608.0,173815.0,26.299742775003782,-0.009362155693134368
Chhattisgarh,Bemetara,2458.0,302.0,11.0,4199.0,54494.0,34486.0,77224.0,2771.0,170403.0,61.472943722943725,0.8010880369281751
Chhattisgarh,Bijapur,3601.0,1761.0,1362.0,1137.0,11910.0,10757.0,17127.0,6724.0,40931.0,6.08639405204461,-0.4751119858064335
Chhattisgarh,Bilaspur,7490.0,1432.0,19.0,12889.0,140452.0,67405.0,127632.0,8941.0,348378.0,38.95974055021248,0.28234566045614257
Chhattisgarh,Dakshin Bastar Dantewada,1028.0,172.0,24.0,1408.0,4488.0,8064.0,19147.0,1224.0,33107.0,27.026122448979592,0.007374863708688895
Chhattisgarh,Dantewada,584.0,126.0,0.0,699.0,1699.0,5327.0,13601.0,710.0,21326.0,29.9943741209564,0.07576841546028242
Chhattisgarh,Dhamtari,1876.0,89.0,3.0,3073.0,41640.0,26826.0,63452.0,1968.0,134991.0,68.55815134586085,0.9643432348629387
Chhattisgarh,Durg,3528.0,520.0,47.0,10565.0,66584.0,76883.0,102968.0,4095.0,257000.0,62.744140625,0.8303785691051011
Chhattisgarh,Gariyaband,1307.0,229.0,6.0,1307.0,26292.0,16883.0,35205.0,1542.0,79687.0,51.644199611147116,0.574617106107258
Chhattisgarh,Gaurela-pendra-marwahi,115.0,20.0,5.0,439.0,2986.0,679.0,1610.0,140.0,5714.0,40.52482269503546,0.3184078069641432
Chhattisgarh,Gaurella Pendra Marwahi,623.0,290.0,70.0,0.0,0.0,0.0,0.0,983.0,0.0,0.0,-0.6153528253919376
Chhattisgarh,Janjgir - Champa,32.0,1.0,0.0,11.0,204.0,5.0,195.0,33.0,415.0,12.205882352941176,-0.3341085986098541
Chhattisgarh,Janjgir Champa,21.0,4.0,0.0,5.0,231.0,21.0,171.0,25.0,428.0,16.46153846153846,-0.2360510656020507
Chhattisgarh,Janjgir-champa,4066.0,572.0,1.0,7192.0,104968.0,51955.0,128699.0,4639.0,292814.0,63.10646551724138,0.8387271490123764
Chhattisgarh,Jashpur,1666.0,875.0,2.0,8700.0,62323.0,30250.0,44353.0,2543.0,145626.0,57.242924528301884,0.7036212218901169
